keyword,value,unit,year,page,matched_metric
Employees,18207,people,2020.0,57,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
%,45,%,2020.0,57,"Absolute emissions by scope (Scope 1, Scope 2, Scope 3 if applicable)"
Workplace safety rate,0.31,,2020.0,57,Total water consumption
Workplace safety days,1407,,2020.0,57,Total water consumption
Workplace safety rate change,0.33,,2020.0,57,Total water consumption
Workplace safety rate change,0.25,,2020.0,57,Total water consumption
Workplace safety rate change,0.23,,2020.0,57,Total water consumption
Workplace safety rate change,0.18,,2020.0,57,Total water consumption
Workplace safety rate change,0.18,,2020.0,57,Total water consumption
Energy consumption,1537425,MWH,2020.0,57,Total water consumption
GHG emissions,326667,Tons COe,2020.0,57,"Absolute emissions by scope (Scope 1, Scope 2, Scope 3 if applicable)"
Employees,2020,number,2020.0,58,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Supply chain,49,pages,2020.0,58,Water consumption intensity
Supply chain,50,pages,2020.0,58,Water consumption intensity
Global Compact participation,2010,year,2020.0,58,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Energy consumption,302-1,Energy consumption within the organization,2020.0,62,Total water consumption
Energy intensity,302-3,Energy intensity,2020.0,62,Emission intensities by scope
Water withdrawal,,,2020.0,63,Water consumption intensity
Water discharge,,,2020.0,63,Total water consumption
Water consumption,,,2020.0,63,Total water consumption
Direct (Scope 1) GHG emissions,,,2020.0,63,"Absolute emissions by scope (Scope 1, Scope 2, Scope 3 if applicable)"
Energy indirect (Scope 2) GHG emissions,,,2020.0,63,"Absolute emissions by scope (Scope 1, Scope 2, Scope 3 if applicable)"
GHG emissions intensity,,,2020.0,63,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Emissions of ozone-depleting substances (ODS),,,2020.0,63,"Absolute emissions by scope (Scope 1, Scope 2, Scope 3 if applicable)"
Waste generation,,,2020.0,64,Total water consumption
Management of waste-related impacts,,,2020.0,64,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Waste generated,,,2020.0,64,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Waste diverted from disposal,,,2020.0,64,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Waste directed to disposal,,,2020.0,64,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Programs for upgrading employee skills,404-2,,2020.0,66,Emission intensities by scope
Performance reviews,404-3,,2020.0,66,"Total volume of hazardous or toxic substances emitted (solid, liquid, gas)"
Diversity of governance bodies,405-1,,2020.0,66,Emission intensities by scope
Political contributions,415-1,,2020.0,66,Total water consumption
Number of FDA Sponsor Inspections,0,inspections,2020.0,67,Total water consumption
